Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Picard_mqc-generalstats-picard-FOLD_ENRICHMENT	Picard_mqc-generalstats-picard-PCT_TARGET_BASES_30X	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-C_coverage	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
cfDNA000067_S19-subsamp18M-s18_R1_001	16.114357669307537																	
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1		42.070702	0.0	0.854858	42.3	0.9	0.8	117535429.0	0.318	78.99	1455256.0	7626633.0	47.120587800623674	71.03905483860807	33.0	40.65616336302108	18.181818181818183	16185352.0
cfDNA000067_S19-subsamp18M-s18_R2_001	13.204076280577247																	
cfDNA000067_S19-subsamp18M-s18_R2_001_val_2														68.93532764390493	35.0	41.891736182197334	27.27272727272727	16185352.0
cfDNA000068_S4-subsamp18M-s18_R1_001	15.797911895017508																	
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1		43.122178	0.0	0.870065	44.1	0.8	0.7	127057068.0	0.335	81.3	1385571.0	7939618.0	48.81101347482405	72.43771828713102	33.0	40.7626864021835	18.181818181818183	16266038.0
cfDNA000068_S4-subsamp18M-s18_R2_001	12.720059953033827																	
cfDNA000068_S4-subsamp18M-s18_R2_001_val_2														70.90970226548008	35.0	41.995022512550385	18.181818181818183	16266038.0
cfDNA000069_S5-subsamp18M-s18_R1_001	10.847802166723532																	
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1		40.664942	0.0	0.89295	41.2	0.7	0.6	193832520.0	0.459	81.9	1758965.0	10524606.0	61.88296115145071	74.10249143832343	34.0	41.86627693935231	18.181818181818183	17007276.0
cfDNA000069_S5-subsamp18M-s18_R2_001	10.463517312213396																	
cfDNA000069_S5-subsamp18M-s18_R2_001_val_2														71.73254894164118	35.0	42.9483732139115	18.181818181818183	17007276.0
cfDNA000071_S6-subsamp18M-s18_R1_001	14.971666359028399																	
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1		41.374926	0.0	0.845936	41.8	0.9	0.8	120118918.0	0.319	77.43	1577739.0	7793363.0	47.644707716114596	70.6672604678561	33.0	40.77731309080843	18.181818181818183	16357248.0
cfDNA000071_S6-subsamp18M-s18_R2_001	13.313296649996765																	
cfDNA000071_S6-subsamp18M-s18_R2_001_val_2														68.80158211121966	34.0	41.99480248755781	18.181818181818183	16357248.0
cfDNA000072_S4-subsamp18M-s18_R1_001	12.170946967190432																	
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1		45.155957	0.0	0.91122	40.1	0.6	0.6	29923508.0	0.403	86.46	1189312.0	9474660.0	54.93162839538927	78.34739025584767	35.0	40.681929935918724	18.181818181818183	17248096.0
cfDNA000072_S4-subsamp18M-s18_R2_001	11.49411377617747																	
cfDNA000072_S4-subsamp18M-s18_R2_001_val_2														77.5517085796423	36.0	41.94547137260832	18.181818181818183	17248096.0
cfDNA000073_S5-subsamp18M-s18_R1_001	15.734866189437502																	
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1		44.87288	0.0	0.900859	40.3	1.1	1.1	29903880.0	0.372	85.08	1208209.0	8766131.0	52.614583408983925	75.58899730321234	35.0	40.22424809416033	18.181818181818183	16661029.0
cfDNA000073_S5-subsamp18M-s18_R2_001	12.788400503155877																	
cfDNA000073_S5-subsamp18M-s18_R2_001_val_2														74.56688962592911	36.0	41.51529062220587	18.181818181818183	16661029.0
cfDNA000074_S6-subsamp18M-s18_R1_001	13.491473134448631																	
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1		44.204461	0.0	0.88671	40.7	0.7	0.7	33046671.0	0.378	83.29	1371614.0	8927617.0	51.98036632242753	73.44624249583599	35.0	39.92189259736504	18.181818181818183	17174979.0
cfDNA000074_S6-subsamp18M-s18_R2_001	13.28392288851348																	
cfDNA000074_S6-subsamp18M-s18_R2_001_val_2														72.2508175777647	36.0	41.22596935926384	18.181818181818183	17174979.0
cfDNA000075_S20-subsamp18M-s18_R1_001	8.230070082667563																	
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1		40.123908	0.0	0.87006	47.1	0.7	0.7	46473648.0	0.423	78.76	1913147.0	10186630.0	57.931817569168395	70.95907280235568	33.0	42.274691639919546	18.181818181818183	17583826.0
cfDNA000075_S20-subsamp18M-s18_R2_001	8.158688929265656																	
cfDNA000075_S20-subsamp18M-s18_R2_001_val_2														68.93639040190567	34.0	43.3668653227119	18.181818181818183	17583826.0
cfDNA000076_S7-subsamp18M-s18_R1_001	11.881560572082831																	
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1		44.514858	0.0	0.901841	41.7	0.7	0.7	32401191.0	0.395	84.78	1305057.0	9458719.0	54.61671943725843	77.93572007742625	35.0	40.60110958556233	18.181818181818183	17318358.0
cfDNA000076_S7-subsamp18M-s18_R2_001	11.778389317010008																	
cfDNA000076_S7-subsamp18M-s18_R2_001_val_2														76.8228593362209	35.0	41.86442248162326	18.181818181818183	17318358.0
cfDNA000077_S21-subsamp18M-s18_R1_001	12.639404447274607																	
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1		43.947335	0.0	0.909664	40.8	0.7	0.6	26764582.0	0.365	86.12	1085728.0	8728630.0	50.89967487321921	80.64984675850346	34.0	40.542464018399066	18.181818181818183	17148695.0
cfDNA000077_S21-subsamp18M-s18_R2_001	11.936741232490231																	
cfDNA000077_S21-subsamp18M-s18_R2_001_val_2														78.93291177840733	35.0	41.832542767831605	18.181818181818183	17148695.0
cfDNA000078_S7-subsamp18M-s18_R1_001	12.521278526423995																	
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1		44.249614	0.0	0.904605	44.8	0.7	0.6	135328030.0	0.374	85.77	1162127.0	8842929.0	51.331095713787164	77.48917800673446	34.0	40.368473677379235	18.181818181818183	17227236.0
cfDNA000078_S7-subsamp18M-s18_R2_001	12.335124498359102																	
cfDNA000078_S7-subsamp18M-s18_R2_001_val_2														76.18899137183774	35.0	41.67163641340956	18.181818181818183	17227236.0
cfDNA000079_S8-subsamp18M-s18_R1_001	13.479254630513898																	
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1		42.544958	0.0	0.854101	41.6	0.8	0.7	141333415.0	0.361	78.93	1688349.0	8584538.0	51.28970221812865	69.93816371481074	33.0	40.853774539724085	18.181818181818183	16737352.0
cfDNA000079_S8-subsamp18M-s18_R2_001	12.521484365884822																	
cfDNA000079_S8-subsamp18M-s18_R2_001_val_2														68.49338003665379	34.0	42.06507146411212	18.181818181818183	16737352.0
cfDNA000080_S8-subsamp18M-s18_R1_001	9.81854725961995																	
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1		43.191307	0.0	0.898431	42.4	1.0	1.0	176107128.0	0.443	83.35	1573207.0	10350515.0	59.12878442523626	75.22603006726408	35.0	41.49542743014067	18.181818181818183	17505036.0
cfDNA000080_S8-subsamp18M-s18_R2_001	9.748769508352922																	
cfDNA000080_S8-subsamp18M-s18_R2_001_val_2														74.4877976464134	35.0	42.66922690133285	18.181818181818183	17505036.0
cfDNA000081_S9-subsamp18M-s18_R1_001	10.72687391803633																	
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1		42.561096	0.0	0.89493	54.1	0.6	0.5	126159430.0	0.343	84.6	1170506.0	8338823.0	47.787800241723495	77.60503702378077	33.0	41.024733333371536	18.181818181818183	17449690.0
cfDNA000081_S9-subsamp18M-s18_R2_001	10.455005433941137																	
cfDNA000081_S9-subsamp18M-s18_R2_001_val_2														76.50904285563979	33.0	42.321601128730656	18.181818181818183	17449690.0
cfDNA000082_S9-subsamp18M-s18_R1_001	12.778174594229503																	
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1		43.257826	0.0	0.911529	41.9	0.9	0.8	24471141.0	0.343	86.93	1000741.0	8311002.0	48.43104093905033	81.23520275184862	33.0	40.32840095554403	18.181818181818183	17160486.0
cfDNA000082_S9-subsamp18M-s18_R2_001	12.586444734383347																	
cfDNA000082_S9-subsamp18M-s18_R2_001_val_2														80.08274330753471	34.0	41.638229593264434	18.181818181818183	17160486.0
cfDNA000083_S22-subsamp18M-s18_R1_001	11.07995745135237																	
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1		43.287583	0.0	0.890369	44.2	1.0	1.0	31242276.0	0.362	83.16	1304514.0	8814728.0	50.77276926569251	75.47006823768555	33.0	40.952586446979005	18.181818181818183	17361133.0
cfDNA000083_S22-subsamp18M-s18_R2_001	10.94809196226265																	
cfDNA000083_S22-subsamp18M-s18_R2_001_val_2														74.00539683138201	34.0	42.23249398527158	18.181818181818183	17361133.0
cfDNA000085_S10-subsamp18M-s18_R1_001	9.86862651813672																	
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1		43.279181	0.0	0.898372	43.1	0.6	0.5	39339038.0	0.448	83.91	1552273.0	10508425.0	60.12786897552618	77.82236538770235	34.0	41.509800080060444	18.181818181818183	17476796.0
cfDNA000085_S10-subsamp18M-s18_R2_001	9.776795003007699																	
cfDNA000085_S10-subsamp18M-s18_R2_001_val_2														76.54509809042419	35.0	42.68645368407344	18.181818181818183	17476796.0
cfDNA000086_S24-subsamp18M-s18_R1_001	12.555765501448429																	
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1		42.387286	0.0	0.913357	49.5	0.7	0.7	108037866.0	0.309	86.58	895635.0	7699607.0	45.060114724225926	83.84927309010249	32.0	40.65222864950108	18.181818181818183	17087411.0
cfDNA000086_S24-subsamp18M-s18_R2_001	12.002681415035012																	
cfDNA000086_S24-subsamp18M-s18_R2_001_val_2														82.78463155806574	33.0	41.942462845892805	18.181818181818183	17087411.0
cfDNA000087_S10-subsamp18M-s18_R1_001	13.41584881960443																	
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1		45.474583	0.0	0.907261	38.4	0.9	0.8	29669946.0	0.393	86.15	1188104.0	9166010.0	53.33904936137819	74.68655707966494	35.0	39.92316781932851	18.181818181818183	17184427.0
cfDNA000087_S10-subsamp18M-s18_R2_001	13.267932402931503																	
cfDNA000087_S10-subsamp18M-s18_R2_001_val_2														73.87205948937577	36.0	41.251359093905194	18.181818181818183	17184427.0
cfDNA000088_S11-subsamp18M-s18_R1_001	13.939222424148712																	
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1		45.238698	0.0	0.902425	38.6	0.8	0.8	30367980.0	0.392	85.7	1226344.0	9126516.0	53.6922829560996	75.53765889031784	35.0	39.952157974168095	18.181818181818183	16997817.0
cfDNA000088_S11-subsamp18M-s18_R2_001	13.755745386815041																	
cfDNA000088_S11-subsamp18M-s18_R2_001_val_2														74.5002775756314	36.0	41.2445748180487	18.181818181818183	16997817.0
cfDNA000089_S25-subsamp18M-s18_R1_001	13.723413098599648																	
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1		45.494269	0.0	0.905558	38.4	0.7	0.6	31028280.0	0.403	85.64	1233895.0	9299283.0	54.57352606667779	77.25689335409723	36.0	40.07115175919881	18.181818181818183	17039916.0
cfDNA000089_S25-subsamp18M-s18_R2_001	13.328802660885506																	
cfDNA000089_S25-subsamp18M-s18_R2_001_val_2														75.16462399036456	37.0	41.33544167705991	18.181818181818183	17039916.0
cfDNA000090_S12-subsamp18M-s18_R1_001	11.962510441590405																	
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1		44.297846	0.0	0.89781	39.7	0.8	0.8	167859277.0	0.434	84.11	1498319.0	10065939.0	58.30091703160466	75.27683699867043	35.0	40.66642968140493	18.181818181818183	17265490.0
cfDNA000090_S12-subsamp18M-s18_R2_001	11.872642167938487																	
cfDNA000090_S12-subsamp18M-s18_R2_001_val_2														74.18543571120605	36.0	41.88706436944448	18.181818181818183	17265490.0
cfDNA000091_S13-subsamp18M-s18_R1_001	13.071423020390776																	
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1		41.730645	0.0	0.834591	42.7	1.0	0.9	144764422.0	0.389	78.0	1884117.0	9136124.0	53.62587526060525	69.46384441369493	34.0	40.37843218405728	18.181818181818183	17036783.0
cfDNA000091_S13-subsamp18M-s18_R2_001	12.98117677544551																	
cfDNA000091_S13-subsamp18M-s18_R2_001_val_2														68.1923388539096	35.0	41.63549984759447	18.181818181818183	17036783.0
cfDNA000092_S13-subsamp18M-s18_R1_001	13.239520106918368																	
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1		44.560787	0.0	0.901867	40.2	0.9	0.9	29333034.0	0.373	85.64	1198674.0	8906500.0	52.106073491882675	76.71204967583984	34.0	40.28169304459242	18.181818181818183	17093017.0
cfDNA000092_S13-subsamp18M-s18_R2_001	12.74381405567172																	
cfDNA000092_S13-subsamp18M-s18_R2_001_val_2														75.97323172125759	35.0	41.54799758287258	18.181818181818183	17093017.0
cfDNA000093_S26-subsamp18M-s18_R1_001	14.073719709622189																	
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1		43.746314	0.0	0.885084	45.3	0.8	0.7	128767057.0	0.359	83.58	1313276.0	8606302.0	50.78551326502215	74.52467519938514	34.0	39.930134544432285	18.181818181818183	16946372.0
cfDNA000093_S26-subsamp18M-s18_R2_001	13.902122738049934																	
cfDNA000093_S26-subsamp18M-s18_R2_001_val_2														73.65188825664032	35.0	41.229057110277054	18.181818181818183	16946372.0
cfDNA000094_S14-subsamp18M-s18_R1_001	12.635155726525682																	
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1		45.211258	0.0	0.901678	40.1	0.6	0.5	34116608.0	0.420	85.11	1355161.0	9685135.0	56.264459139936676	76.6331710946344	35.0	40.356970099153614	18.181818181818183	17213593.0
cfDNA000094_S14-subsamp18M-s18_R2_001	12.561636133613966																	
cfDNA000094_S14-subsamp18M-s18_R2_001_val_2														75.44157980971023	36.0	41.59156388791114	18.181818181818183	17213593.0
cfDNA000095_S14-subsamp18M-s18_R1_001	10.236822230333606																	
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1		43.221721	0.0	0.895707	41.5	0.8	0.8	177881726.0	0.443	83.24	1598061.0	10338871.0	59.49585624231476	76.21954703081971	34.0	41.49062895483484	18.181818181818183	17377464.0
cfDNA000095_S14-subsamp18M-s18_R2_001	10.180177470521373																	
cfDNA000095_S14-subsamp18M-s18_R2_001_val_2														75.29723152556873	35.0	42.63513784289813	18.181818181818183	17377464.0
cfDNA000096_S15-subsamp18M-s18_R1_001	14.519072709896715																	
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1		43.57015	0.0	0.890208	40.9	0.8	0.8	29433626.0	0.344	84.32	1224867.0	8332377.0	49.429618569746445	75.86825982503102	33.0	39.936027608147164	18.181818181818183	16857053.0
cfDNA000096_S15-subsamp18M-s18_R2_001	13.765937426911284																	
cfDNA000096_S15-subsamp18M-s18_R2_001_val_2														73.97056811406287	35.0	41.261831946544866	18.181818181818183	16857053.0
cfDNA000097_S27-subsamp18M-s18_R1_001	13.843890594250421																	
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1		42.585673	0.0	0.881868	41.9	1.1	1.1	32115924.0	0.359	83.17	1328989.0	8570101.0	50.353019271289355	75.71539054345686	34.0	39.95019304896806	18.181818181818183	17020034.0
cfDNA000097_S27-subsamp18M-s18_R2_001	13.659767351046101																	
cfDNA000097_S27-subsamp18M-s18_R2_001_val_2														74.32253387838423	35.0	41.25353521620462	18.181818181818183	17020034.0
cfDNA000098_S15-subsamp18M-s18_R1_001	13.504408504019928																	
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1		43.760155	0.0	0.886686	42.1	0.9	0.8	31860194.0	0.368	83.89	1335119.0	8868905.0	51.89161563166095	74.69075785359087	34.0	40.01143541036591	18.181818181818183	17091210.0
cfDNA000098_S15-subsamp18M-s18_R2_001	13.358369221778773																	
cfDNA000098_S15-subsamp18M-s18_R2_001_val_2														73.86288190327951	35.0	41.33722931261157	18.181818181818183	17091210.0
cfDNA000099_S28-subsamp18M-s18_R1_001	9.82712637417035																	
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1		42.779476	0.0	0.90218	44.8	0.8	0.7	41423398.0	0.473	83.8	1629748.0	10883429.0	62.52942136624762	77.09770825644581	35.0	41.68050144286568	18.181818181818183	17405293.0
cfDNA000099_S28-subsamp18M-s18_R2_001	9.767337487880713																	
cfDNA000099_S28-subsamp18M-s18_R2_001_val_2														75.57201801549925	35.0	42.801763808285216	18.181818181818183	17405293.0
lambda.DNA027585_S11-subsamp18M-s18_R1_001_val_1				0.996954	0.4	0.4	0.4	1240572.0	242.363			118170.0	0.7024149951246443					
lambda.DNA027586_S12-subsamp18M-s18_R1_001_val_1				0.99919	0.4	0.4	0.4	2658517.0	1371.813			663146.0	3.8569887528098783					
lambda.DNA032997_S29-subsamp18M-s18_R1_001_val_1				0.996191	0.8	0.8	0.8	1240084.0	211.936			103183.0	0.6029610498954169					
lambda.DNA032998_S30-subsamp18M-s18_R1_001_val_1				0.989568	0.9	0.8	0.9	422297.0	58.290			28375.0	0.16353409306902458					
lambda.cfDNA000057_S15-subsamp18M-s18_R1_001_val_1				0.997975	0.7	0.8	0.7	2402584.0	516.288			248918.0	1.5085282955565933					
lambda.cfDNA000058_S1-subsamp18M-s18_R1_001_val_1				0.998432	0.9	0.9	0.9	2726949.0	774.693			375610.0	2.328027151164398					
lambda.cfDNA000059_S1-subsamp18M-s18_R1_001_val_1				0.996419	0.9	1.0	1.0	1483072.0	243.712			117550.0	0.7210363884461939					
lambda.cfDNA000060_S2-subsamp18M-s18_R1_001_val_1				0.998722	0.7	0.8	0.8	2952808.0	976.009			474010.0	2.884705559020713					
lambda.cfDNA000061_S16-subsamp18M-s18_R1_001_val_1				0.997523	0.8	0.8	0.8	1918597.0	351.399			169571.0	1.052699932500213					
lambda.cfDNA000062_S2-subsamp18M-s18_R1_001_val_1				0.998648	0.7	0.7	0.7	2866584.0	860.310			413477.0	2.57044259266961					
lambda.cfDNA000063_S3-subsamp18M-s18_R1_001_val_1				0.998487	0.9	0.9	0.9	2708535.0	778.934			377464.0	2.4089018016921613					
lambda.cfDNA000064_S17-subsamp18M-s18_R1_001_val_1				0.996091	0.7	0.8	0.8	1361990.0	216.235			103618.0	0.6372274842096816					
lambda.cfDNA000065_S18-subsamp18M-s18_R1_001_val_1				0.997197	0.7	0.7	0.7	1857608.0	314.544			151244.0	0.9120871692015052					
lambda.cfDNA000066_S3-subsamp18M-s18_R1_001_val_1				0.999215	0.8	0.8	0.8	3397367.0	1817.684			881665.0	5.355131858881541					
lambda.cfDNA000067_S19-subsamp18M-s18_R1_001_val_1				0.998935	0.8	0.9	0.8	3270880.0	1221.359			587103.0	3.627372453808851					
lambda.cfDNA000068_S4-subsamp18M-s18_R1_001_val_1				0.998954	0.7	0.8	0.7	3217283.0	1246.552			597744.0	3.6747977596019386					
lambda.cfDNA000069_S5-subsamp18M-s18_R1_001_val_1				0.991138	0.6	0.7	0.6	540777.0	71.974			34641.0	0.2036834117350715					
lambda.cfDNA000071_S6-subsamp18M-s18_R1_001_val_1				0.998905	0.8	0.8	0.8	3201296.0	1254.625			606381.0	3.7071089219898115					
