Sample	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	14001458.0	14001458.0	2079484.0	1.0	0.148519	2079484.0	1.0	576734613.0	86886228.0	512129616.0	15756031.0	48848966.0	37611807.0	0.915301	0.084699	0.970153	8.027839	0.58958	1.0	25.0	0.887875	0.065207	43.17547	0.351779	0.849348	0.014557	0.000603	0.031845	0.038432	?	0.510134	0.068778	3e-06	1e-06	0.0	0.0	0.0	0.0	690633.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.297254	5.689792	0.264477	1.0			
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16899698.0	16899698.0	2183300.0	1.0	0.129192	2183300.0	1.0	711335888.0	94402673.0	637326137.0	26272968.0	47736783.0	43598650.0	0.932891	0.067109	0.960408	9.990345	0.683426	1.0	30.0	0.895843	0.061283	43.563243	0.277021	0.867288	0.010072	0.000598	0.020473	0.040278	?	0.593311	0.077181	3e-06	1e-06	0.0	0.0	0.0	0.0	790559.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.429395	4.594173	0.307556	2.0			
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16790426.0	16790426.0	2351374.0	1.0	0.140043	2351374.0	1.0	710518342.0	101749269.0	622047576.0	30808769.0	57661997.0	44285536.0	0.918845	0.081155	0.952809	9.750847	0.694194	1.0	26.0	0.875371	0.06232	42.56783	0.273782	0.856796	0.011137	0.000631	0.021798	0.04731	?	0.59776	0.083004	4e-06	1e-06	0.0	0.0	0.0	0.0	816972.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.283742	4.286448	0.309997	2.0			
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	14550948.0	14550948.0	1777048.0	1.0	0.122126	1777048.0	1.0	620521145.0	76180318.0	547806365.0	17230378.0	55484402.0	35255389.0	0.910584	0.089416	0.969506	8.587086	0.552642	0.0	22.0	0.882713	0.056809	42.924346	0.372768	0.877232	0.011102	0.000322	0.023265	0.031263	?	0.494547	0.050729	2e-06	1e-06	0.0	0.0	0.0	0.0	614326.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.745894	4.846498	0.253069	1.0			
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	13852860.0	13852860.0	2213896.0	1.0	0.159815	2213896.0	1.0	580202300.0	93292346.0	502025765.0	18479015.0	59697520.0	38392119.0	0.897109	0.102891	0.964498	7.869457	0.601812	1.0	32.0	0.86515	0.066162	42.070702	0.343852	0.839207	0.015481	0.000692	0.032042	0.046407	?	0.51834	0.072314	3e-06	1e-06	0.0	0.0	0.0	0.0	705036.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.111896	5.517801	0.269233	1.0			
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	14816072.0	14816072.0	2063270.0	1.0	0.139259	2063270.0	1.0	623091020.0	87308826.0	552610305.0	17218130.0	53262585.0	38457174.0	0.914519	0.085481	0.969784	8.66239	0.602832	1.0	27.0	0.886776	0.061712	43.122178	0.338793	0.859878	0.013348	0.000567	0.027315	0.037172	?	0.526018	0.066616	2e-06	1e-06	0.0	0.0	0.0	0.0	687710.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.848223	4.957041	0.271223	1.0			
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	19439136.0	19439136.0	2253318.0	1.0	0.115917	2253318.0	1.0	841659922.0	100247930.0	703920485.0	55406241.0	82333196.0	43886850.0	0.902178	0.097822	0.927032	11.034238	0.687944	1.0	13.0	0.836241	0.052137	40.664942	0.255095	0.880893	0.008617	0.000601	0.013343	0.044403	?	0.614239	0.063795	1e-06	0.0	0.0	0.0	0.0	0.0	801454.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.419918	3.236751	0.314656	2.0			
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	13980950.0	13980950.0	2401346.0	1.0	0.171758	2401346.0	1.0	586807881.0	102084927.0	499344148.0	21897023.0	65566710.0	40638654.0	0.888265	0.111735	0.957991	7.827421	0.637027	1.0	33.0	0.850841	0.069245	41.374926	0.317876	0.826033	0.015607	0.000817	0.031964	0.056325	?	0.548306	0.076998	3e-06	1e-06	0.0	0.0	0.0	0.0	755384.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.557156	4.862046	0.28544	1.0			
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17569830.0	17569830.0	1682316.0	1.0	0.09575	1682316.0	1.0	737741018.0	71891471.0	685150195.0	15271260.0	37319563.0	37110754.0	0.949414	0.050586	0.978197	10.740006	0.581726	1.0	21.0	0.928602	0.050297	45.155957	0.35378	0.902552	0.008556	0.000276	0.019138	0.019174	?	0.50808	0.061414	3e-06	0.0	0.0	0.0	0.0	0.0	636583.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.509686	6.021646	0.261534	1.0			
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16199852.0	16199852.0	1738174.0	1.0	0.107296	1738174.0	1.0	676619186.0	73686104.0	624446233.0	13796987.0	38375966.0	36271249.0	0.943283	0.056717	0.978383	9.788447	0.568566	1.0	23.0	0.922784	0.0536	44.87288	0.364173	0.891097	0.010178	0.000319	0.022154	0.022645	?	0.503161	0.05592	2e-06	0.0	0.0	0.0	0.0	0.0	631538.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.3666	5.646679	0.258514	1.0			
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16417542.0	16417542.0	2022816.0	1.0	0.123211	2022816.0	1.0	682186183.0	84054045.0	620205794.0	16544376.0	45436013.0	38784263.0	0.933396	0.066604	0.974017	9.721976	0.607959	1.0	31.0	0.909038	0.056846	44.204461	0.332423	0.876787	0.012739	0.000385	0.025411	0.027825	?	0.530166	0.065848	3e-06	1e-06	0.0	0.0	0.0	0.0	685247.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.413307	5.955406	0.273992	1.0			
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	18013058.0	18013058.0	2647306.0	1.0	0.146966	2647306.0	1.0	786719338.0	115349633.0	649216947.0	49601872.0	87900519.0	46501594.0	0.88827	0.11173	0.92902	10.176738	0.728931	1.0	25.0	0.825115	0.059101	40.123908	0.248033	0.853379	0.013237	0.00065	0.02006	0.053566	?	0.620258	0.093699	4e-06	1e-06	0.0	0.0	0.0	0.0	849194.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.186733	3.271044	0.324571	2.0			
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17151344.0	17151344.0	1856914.0	1.0	0.108266	1856914.0	1.0	721251854.0	79501809.0	660326519.0	17665316.0	43260019.0	38994940.0	0.940021	0.059979	0.973945	10.350885	0.611261	1.0	23.0	0.915418	0.054059	44.514858	0.322502	0.889772	0.009689	0.000352	0.019601	0.02652	?	0.546773	0.054844	3e-06	0.0	0.0	0.0	0.0	0.0	676788.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.302878	4.569852	0.27969	1.0			
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15642610.0	15642610.0	1577016.0	1.0	0.100815	1577016.0	1.0	655813401.0	66807525.0	592761010.0	15351461.0	47700930.0	32113471.0	0.927264	0.072736	0.974756	9.291768	0.503392	0.0	14.0	0.903752	0.048962	43.947335	0.410413	0.89813	0.010262	0.000321	0.021449	0.02087	?	0.453986	0.041813	1e-06	0.0	0.0	0.0	0.0	0.0	565220.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.180915	5.956547	0.231268	1.0			
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16336208.0	16336208.0	1687144.0	1.0	0.103276	1687144.0	1.0	683007065.0	71193850.0	621586373.0	15351837.0	46068855.0	34239696.0	0.93255	0.06745	0.975897	9.743618	0.536721	0.0	13.0	0.909958	0.050124	44.249614	0.385098	0.895764	0.010633	0.000338	0.021558	0.021575	?	0.479099	0.048555	1e-06	0.0	0.0	0.0	0.0	0.0	599367.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.95569	5.756263	0.244702	1.0			
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16023514.0	16023514.0	2504948.0	1.0	0.15633	2504948.0	1.0	676893873.0	107312828.0	592291476.0	23812429.0	60789968.0	43993703.0	0.910193	0.089807	0.96135	9.284408	0.689619	1.0	30.0	0.874899	0.064985	42.544958	0.27999	0.841463	0.013652	0.000795	0.026822	0.052275	?	0.590903	0.084996	3e-06	2e-06	0.0	0.0	0.0	0.0	813033.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.139609	4.345146	0.307171	2.0			
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	18902572.0	18902572.0	2102592.0	1.0	0.111233	2102592.0	1.0	810605701.0	92525201.0	720066831.0	33818169.0	56720701.0	43355422.0	0.930027	0.069973	0.955141	11.287338	0.679614	1.0	17.0	0.888193	0.053478	43.191307	0.267083	0.885857	0.008576	0.000425	0.015163	0.036494	?	0.604048	0.064091	2e-06	0.0	0.0	0.0	0.0	0.0	768508.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.651963	3.61757	0.310376	2.0			
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15198970.0	15198970.0	1752326.0	1.0	0.115292	1752326.0	1.0	644310864.0	74337512.0	563994741.0	18775571.0	61540552.0	32592119.0	0.904486	0.095514	0.967782	8.840845	0.510895	0.0	13.0	0.87524	0.050578	42.561096	0.41192	0.884625	0.012185	0.000364	0.023979	0.028262	?	0.454648	0.047558	2e-06	0.0	0.0	0.0	0.0	0.0	581530.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.867296	5.316221	0.233432	1.0			
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15310382.0	15310382.0	1470572.0	1.0	0.096051	1470572.0	1.0	640521210.0	61815184.0	569855844.0	16559454.0	54105912.0	28930434.0	0.915528	0.084472	0.971762	8.932721	0.453496	0.0	18.0	0.88957	0.045162	43.257826	0.454331	0.903492	0.009877	0.000214	0.021553	0.019696	?	0.411437	0.035208	2e-06	0.0	0.0	0.0	0.0	0.0	519567.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.830506	6.667636	0.209365	1.0			
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15497546.0	15497546.0	1932728.0	1.0	0.124712	1932728.0	1.0	655952674.0	81602755.0	583986288.0	16496950.0	55469436.0	36318491.0	0.915437	0.084563	0.972527	9.154221	0.569307	1.0	19.0	0.890181	0.055361	43.287583	0.358634	0.875597	0.013157	0.000439	0.025	0.030441	?	0.507006	0.0538	2e-06	0.0	0.0	0.0	0.0	0.0	637212.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.907687	4.439381	0.259703	1.0			
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	19291250.0	19291250.0	2135894.0	1.0	0.110718	2135894.0	1.0	821846677.0	93376763.0	731537582.0	34523958.0	55785137.0	44663832.0	0.932122	0.067878	0.954933	11.467147	0.700124	1.0	19.0	0.890002	0.054339	43.279181	0.270093	0.886382	0.00826	0.000444	0.016391	0.034178	?	0.584841	0.09566	3e-06	0.0	0.0	0.0	0.0	0.0	786270.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.508401	5.214611	0.307326	2.0			
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	13348630.0	13348630.0	1334232.0	1.0	0.099953	1334232.0	1.0	559617408.0	56334742.0	487858226.0	15489925.0	56269257.0	26197103.0	0.89945	0.10055	0.969226	7.647375	0.41065	0.0	10.0	0.871665	0.046807	42.387286	0.491467	0.899333	0.010424	0.000252	0.022195	0.020983	?	0.379547	0.02605	0.0	0.0	0.0	0.0	0.0	0.0	470662.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.043059	6.351467	0.192076	1.0			
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17157514.0	17157514.0	1700096.0	1.0	0.099088	1700096.0	1.0	710829402.0	71529621.0	664815155.0	12589477.0	33424770.0	36065043.0	0.952978	0.047022	0.981415	10.421246	0.565334	0.0	23.0	0.935158	0.050731	45.474583	0.369003	0.899372	0.009081	0.000407	0.021495	0.018909	?	0.493959	0.060226	2e-06	1e-06	0.0	0.0	0.0	0.0	634805.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.361193	6.693961	0.254131	1.0			
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17149490.0	17149490.0	1781038.0	1.0	0.103854	1781038.0	1.0	712732949.0	74713781.0	663137720.0	13138257.0	36456972.0	36303193.0	0.948849	0.051151	0.980573	10.394952	0.569067	0.0	20.0	0.930309	0.050929	45.238698	0.370137	0.895173	0.009527	0.000408	0.022377	0.02158	?	0.496344	0.061781	2e-06	0.0	0.0	0.0	0.0	0.0	646031.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.314223	6.38619	0.25548	1.0			
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17189984.0	17189984.0	1756486.0	1.0	0.102181	1756486.0	1.0	715886784.0	74411138.0	669834999.0	13496215.0	32555570.0	38186468.0	0.954524	0.045476	0.980249	10.499934	0.598588	1.0	20.0	0.935562	0.053335	45.494269	0.344024	0.896057	0.008919	0.000469	0.020622	0.020591	?	0.522877	0.06418	2e-06	0.0	0.0	0.0	0.0	0.0	665659.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.091717	6.133753	0.269415	1.0			
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	18859316.0	18859316.0	2057272.0	1.0	0.109085	2057272.0	1.0	796048709.0	89347445.0	725252195.0	24715881.0	46080633.0	42663616.0	0.942113	0.057887	0.967044	11.368621	0.668769	1.0	19.0	0.910955	0.053588	44.297846	0.276255	0.887761	0.008504	0.000525	0.017222	0.032392	?	0.595565	0.062482	3e-06	0.0	0.0	0.0	0.0	0.0	756147.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.960281	3.973892	0.305569	2.0			
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	17126320.0	17126320.0	3022392.0	1.0	0.176476	3022392.0	1.0	719584131.0	130226287.0	617594583.0	27900947.0	74088601.0	44998328.0	0.89704	0.10296	0.956776	9.681045	0.705367	1.0	32.0	0.85816	0.062526	41.730645	0.3231	0.819026	0.012836	0.000993	0.035654	0.068959	?	0.556967	0.122689	5e-06	1e-06	0.0	0.0	0.0	0.0	920455.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.527125	5.011521	0.297094	2.0			
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16689712.0	16689712.0	1748044.0	1.0	0.104738	1748044.0	1.0	695772138.0	73302835.0	637656350.0	14495915.0	43619873.0	34209246.0	0.937307	0.062693	0.977772	9.995521	0.536244	0.0	24.0	0.916366	0.049162	44.560787	0.390607	0.894645	0.009957	0.00029	0.023119	0.022822	?	0.472403	0.054253	2e-06	1e-06	0.0	0.0	0.0	0.0	614999.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.818741	6.212538	0.243116	1.0			
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15993772.0	15993772.0	1977996.0	1.0	0.123673	1977996.0	1.0	663004985.0	82327110.0	596520075.0	15549713.0	50935197.0	35075261.0	0.923175	0.076825	0.974595	9.350693	0.549819	0.0	19.0	0.899619	0.052897	43.746314	0.382348	0.875827	0.012147	0.000472	0.027253	0.031396	?	0.481894	0.058465	2e-06	0.0	0.0	0.0	0.0	0.0	645857.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.266323	5.587234	0.248961	1.0			
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	18199638.0	18199638.0	1904522.0	1.0	0.104646	1904522.0	1.0	762276038.0	81568420.0	708803194.0	16869311.0	36603533.0	41181625.0	0.951981	0.048019	0.976754	11.110776	0.645539	1.0	28.0	0.929739	0.054018	45.211258	0.302705	0.892994	0.008638	0.000471	0.018989	0.024883	?	0.566198	0.067352	4e-06	1e-06	0.0	0.0	0.0	0.0	716385.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.90186	5.033782	0.292023	1.0			
