Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10524606.0	0.0	0.0	0.0	9397947.0	805038.0	0.89295	1126861.0
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7793363.0	0.0	0.0	0.0	6592690.0	802888.0	0.845936	1204302.0
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9474660.0	0.0	0.0	0.0	8633502.0	689745.0	0.91122	841182.0
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8766131.0	0.0	0.0	0.0	7897044.0	666205.0	0.900859	869164.0
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8927617.0	0.0	0.0	0.0	7916209.0	718846.0	0.88671	1011710.0
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10186630.0	0.0	0.0	0.0	8862977.0	1180101.0	0.87006	1325133.0
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9458719.0	0.0	0.0	0.0	8530262.0	883047.0	0.901841	928547.0
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8728630.0	0.0	0.0	0.0	7940122.0	907325.0	0.909664	788546.0
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8842929.0	0.0	0.0	0.0	7999357.0	674825.0	0.904605	843624.0
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8584538.0	0.0	0.0	0.0	7332064.0	572781.0	0.854101	1254588.0
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10350515.0	0.0	0.0	0.0	9299219.0	899229.0	0.898431	1051427.0
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8338823.0	0.0	0.0	0.0	7462660.0	739338.0	0.89493	876313.0
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8311002.0	0.0	0.0	0.0	7575716.0	655811.0	0.911529	735308.0
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8814728.0	0.0	0.0	0.0	7848364.0	1065955.0	0.890369	966683.0
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10508425.0	0.0	0.0	0.0	9440478.0	862800.0	0.898372	1068074.0
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7699607.0	0.0	0.0	0.0	7032491.0	1025292.0	0.913357	667146.0
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9166010.0	0.0	0.0	0.0	8315962.0	587253.0	0.907261	850083.0
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9126516.0	0.0	0.0	0.0	8235997.0	551771.0	0.902425	890577.0
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9299283.0	0.0	0.0	0.0	8421040.0	704291.0	0.905558	878292.0
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10065939.0	0.0	0.0	0.0	9037303.0	636281.0	0.89781	1028743.0
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9136124.0	0.0	0.0	0.0	7624928.0	572964.0	0.834591	1516549.0
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8906500.0	0.0	0.0	0.0	8032478.0	561644.0	0.901867	874084.0
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8606302.0	0.0	0.0	0.0	7617304.0	609416.0	0.885084	989303.0
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9685135.0	0.0	0.0	0.0	8732874.0	585316.0	0.901678	952328.0
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10338871.0	0.0	0.0	0.0	9260596.0	804458.0	0.895707	1078431.0
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8332377.0	0.0	0.0	0.0	7417549.0	521280.0	0.890208	915007.0
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8570100.0	0.0	0.0	0.0	7557698.0	673071.0	0.881868	1012818.0
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8868905.0	0.0	0.0	0.0	7863931.0	582755.0	0.886686	1005238.0
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10883429.0	0.0	0.0	0.0	9818817.0	820289.0	0.90218	1064695.0
lambda.DNA027585_S11-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	118170.0	0.0	0.0	0.0	117810.0	44207.0	0.996954	360.0
lambda.DNA027586_S12-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	663146.0	0.0	0.0	0.0	662609.0	521046.0	0.99919	537.0
lambda.DNA032997_S29-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	103183.0	0.0	0.0	0.0	102790.0	31842.0	0.996191	393.0
lambda.DNA032998_S30-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	28375.0	0.0	0.0	0.0	28079.0	3538.0	0.989568	296.0
lambda.cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	248918.0	0.0	0.0	0.0	248414.0	120045.0	0.997975	504.0
lambda.cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	375610.0	0.0	0.0	0.0	375021.0	229859.0	0.998432	589.0
lambda.cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	117550.0	0.0	0.0	0.0	117129.0	35388.0	0.996419	421.0
lambda.cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	474010.0	0.0	0.0	0.0	473404.0	317415.0	0.998722	606.0
lambda.cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	169571.0	0.0	0.0	0.0	169151.0	65309.0	0.997523	420.0
lambda.cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	413477.0	0.0	0.0	0.0	412918.0	262140.0	0.998648	559.0
lambda.cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	377464.0	0.0	0.0	0.0	376893.0	232371.0	0.998487	571.0
lambda.cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	103618.0	0.0	0.0	0.0	103213.0	29239.0	0.996091	405.0
lambda.cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	151244.0	0.0	0.0	0.0	150820.0	52231.0	0.997197	424.0
lambda.cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	881665.0	0.0	0.0	0.0	880973.0	706819.0	0.999215	692.0
lambda.cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	587103.0	0.0	0.0	0.0	586478.0	417646.0	0.998935	625.0
lambda.cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	597744.0	0.0	0.0	0.0	597119.0	430480.0	0.998954	625.0
lambda.cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	34641.0	0.0	0.0	0.0	34334.0	4578.0	0.991138	307.0
lambda.cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	606381.0	0.0	0.0	0.0	605717.0	439488.0	0.998905	664.0
lambda.cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	203992.0	0.0	0.0	0.0	203569.0	95073.0	0.997926	423.0
lambda.cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	167198.0	0.0	0.0	0.0	166823.0	70398.0	0.997757	375.0
lambda.cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	114134.0	0.0	0.0	0.0	113773.0	37999.0	0.996837	361.0
lambda.cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	91561.0	0.0	0.0	0.0	91013.0	26321.0	0.994015	548.0
lambda.cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	133982.0	0.0	0.0	0.0	133626.0	49167.0	0.997343	356.0
lambda.cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	338389.0	0.0	0.0	0.0	337946.0	205777.0	0.998691	443.0
lambda.cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	234587.0	0.0	0.0	0.0	234194.0	120819.0	0.998325	393.0
lambda.cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	416079.0	0.0	0.0	0.0	415473.0	261660.0	0.998544	606.0
lambda.cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	56595.0	0.0	0.0	0.0	56285.0	11146.0	0.994522	310.0
lambda.cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	268894.0	0.0	0.0	0.0	268489.0	156441.0	0.998494	405.0
lambda.cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	499954.0	0.0	0.0	0.0	499504.0	354931.0	0.9991	450.0
lambda.cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	359991.0	0.0	0.0	0.0	359545.0	225355.0	0.998761	446.0
lambda.cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	85635.0	0.0	0.0	0.0	85281.0	22855.0	0.995866	354.0
lambda.cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	882845.0	0.0	0.0	0.0	882322.0	719904.0	0.999408	523.0
lambda.cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	192212.0	0.0	0.0	0.0	191765.0	89492.0	0.997674	447.0
lambda.cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	155649.0	0.0	0.0	0.0	155253.0	62791.0	0.997456	396.0
lambda.cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	193065.0	0.0	0.0	0.0	192665.0	87795.0	0.997928	400.0
lambda.cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	66993.0	0.0	0.0	0.0	66668.0	15019.0	0.995149	325.0
lambda.cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	131923.0	0.0	0.0	0.0	131488.0	47350.0	0.996703	435.0
lambda.cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	481847.0	0.0	0.0	0.0	481345.0	338368.0	0.998958	502.0
lambda.cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	316861.0	0.0	0.0	0.0	316390.0	188908.0	0.998514	471.0
lambda.cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	71790.0	0.0	0.0	0.0	71462.0	16619.0	0.995431	328.0
lambda.cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	69693.0	0.0	0.0	0.0	69364.0	15418.0	0.995279	329.0
lambda.cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	470773.0	0.0	0.0	0.0	470254.0	330018.0	0.998898	519.0
lambda.cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	445369.0	0.0	0.0	0.0	444858.0	304166.0	0.998853	511.0
lambda.cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	273089.0	0.0	0.0	0.0	272663.0	152211.0	0.99844	426.0
lambda.cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	19443.0	0.0	0.0	0.0	19171.0	2040.0	0.98601	272.0
