Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	cfDNA000074_S6-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17174979.0	0.0	20-47	35.0	26.55375750416401	39.92189259736504	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000074_S6-subsamp18M-s18_R2_001_val_2	cfDNA000074_S6-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17174979.0	0.0	20-47	36.0	27.74918242223529	41.22596935926384	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	cfDNA000075_S20-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17583826.0	0.0	20-47	33.0	29.04092719764433	42.274691639919546	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000075_S20-subsamp18M-s18_R2_001_val_2	cfDNA000075_S20-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17583826.0	0.0	20-47	34.0	31.063609598094327	43.3668653227119	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	cfDNA000076_S7-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17318358.0	0.0	20-47	35.0	22.06427992257375	40.60110958556233	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000076_S7-subsamp18M-s18_R2_001_val_2	cfDNA000076_S7-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17318358.0	0.0	20-47	35.0	23.177140663779102	41.86442248162326	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	cfDNA000077_S21-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17148695.0	0.0	20-47	34.0	19.350153241496535	40.542464018399066	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000077_S21-subsamp18M-s18_R2_001_val_2	cfDNA000077_S21-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17148695.0	0.0	20-47	35.0	21.067088221592673	41.832542767831605	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	cfDNA000078_S7-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17227236.0	0.0	20-47	34.0	22.51082199326554	40.368473677379235	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000078_S7-subsamp18M-s18_R2_001_val_2	cfDNA000078_S7-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17227236.0	0.0	20-47	35.0	23.811008628162252	41.67163641340956	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	cfDNA000079_S8-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16737352.0	0.0	20-47	33.0	30.06183628518926	40.853774539724085	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000079_S8-subsamp18M-s18_R2_001_val_2	cfDNA000079_S8-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16737352.0	0.0	20-47	34.0	31.50661996334621	42.06507146411212	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	cfDNA000080_S8-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17505036.0	0.0	20-47	35.0	24.773969932735927	41.49542743014067	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000080_S8-subsamp18M-s18_R2_001_val_2	cfDNA000080_S8-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17505036.0	0.0	20-47	35.0	25.512202353586606	42.66922690133285	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	cfDNA000081_S9-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17449690.0	0.0	20-47	33.0	22.39496297621923	41.024733333371536	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000081_S9-subsamp18M-s18_R2_001_val_2	cfDNA000081_S9-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17449690.0	0.0	20-47	33.0	23.490957144360202	42.321601128730656	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	cfDNA000082_S9-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17160486.0	0.0	20-47	33.0	18.764797248151375	40.32840095554403	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000082_S9-subsamp18M-s18_R2_001_val_2	cfDNA000082_S9-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17160486.0	0.0	20-47	34.0	19.91725669246528	41.638229593264434	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	cfDNA000083_S22-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17361133.0	0.0	20-47	33.0	24.529931762314444	40.952586446979005	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000083_S22-subsamp18M-s18_R2_001_val_2	cfDNA000083_S22-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17361133.0	0.0	20-47	34.0	25.99460316861798	42.23249398527158	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	cfDNA000085_S10-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17476796.0	0.0	20-47	34.0	22.177634612297652	41.509800080060444	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000085_S10-subsamp18M-s18_R2_001_val_2	cfDNA000085_S10-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17476796.0	0.0	20-47	35.0	23.454901909575813	42.68645368407344	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	cfDNA000086_S24-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17087411.0	0.0	20-47	32.0	16.15072690989752	40.65222864950108	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000086_S24-subsamp18M-s18_R2_001_val_2	cfDNA000086_S24-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17087411.0	0.0	20-47	33.0	17.215368441934267	41.942462845892805	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	cfDNA000087_S10-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17184427.0	0.0	20-47	35.0	25.313442920335056	39.92316781932851	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000087_S10-subsamp18M-s18_R2_001_val_2	cfDNA000087_S10-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17184427.0	0.0	20-47	36.0	26.12794051062423	41.251359093905194	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	cfDNA000088_S11-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16997817.0	0.0	20-47	35.0	24.462341109682153	39.952157974168095	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000088_S11-subsamp18M-s18_R2_001_val_2	cfDNA000088_S11-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16997817.0	0.0	20-47	36.0	25.499722424368592	41.2445748180487	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	cfDNA000089_S25-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17039916.0	0.0	20-47	36.0	22.743106645902778	40.07115175919881	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000089_S25-subsamp18M-s18_R2_001_val_2	cfDNA000089_S25-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17039916.0	0.0	20-47	37.0	24.835376009635443	41.33544167705991	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	cfDNA000090_S12-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17265490.0	0.0	20-47	35.0	24.72316300132957	40.66642968140493	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000090_S12-subsamp18M-s18_R2_001_val_2	cfDNA000090_S12-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17265490.0	0.0	20-47	36.0	25.81456428879394	41.88706436944448	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	cfDNA000091_S13-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17036783.0	0.0	20-47	34.0	30.536155586305075	40.37843218405728	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000091_S13-subsamp18M-s18_R2_001_val_2	cfDNA000091_S13-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17036783.0	0.0	20-47	35.0	31.807661146090393	41.63549984759447	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	cfDNA000092_S13-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17093017.0	0.0	20-47	34.0	23.28795032416016	40.28169304459242	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000092_S13-subsamp18M-s18_R2_001_val_2	cfDNA000092_S13-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17093017.0	0.0	20-47	35.0	24.026768278742406	41.54799758287258	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	cfDNA000093_S26-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16946372.0	0.0	20-47	34.0	25.475324800614857	39.930134544432285	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000093_S26-subsamp18M-s18_R2_001_val_2	cfDNA000093_S26-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16946372.0	0.0	20-47	35.0	26.348111743359677	41.229057110277054	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	cfDNA000094_S14-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17213593.0	0.0	20-47	35.0	23.3668289053656	40.356970099153614	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000094_S14-subsamp18M-s18_R2_001_val_2	cfDNA000094_S14-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17213593.0	0.0	20-47	36.0	24.558420190289766	41.59156388791114	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	cfDNA000095_S14-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17377464.0	0.0	20-47	34.0	23.78045296918028	41.49062895483484	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000095_S14-subsamp18M-s18_R2_001_val_2	cfDNA000095_S14-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17377464.0	0.0	20-47	35.0	24.702768474431267	42.63513784289813	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	cfDNA000096_S15-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16857053.0	0.0	20-47	33.0	24.13174017496898	39.936027608147164	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000096_S15-subsamp18M-s18_R2_001_val_2	cfDNA000096_S15-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16857053.0	0.0	20-47	35.0	26.029431885937125	41.261831946544866	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	cfDNA000097_S27-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17020034.0	0.0	20-47	34.0	24.284609456543134	39.95019304896806	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000097_S27-subsamp18M-s18_R2_001_val_2	cfDNA000097_S27-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17020034.0	0.0	20-47	35.0	25.677466121615765	41.25353521620462	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	cfDNA000098_S15-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17091210.0	0.0	20-47	34.0	25.30924214640914	40.01143541036591	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000098_S15-subsamp18M-s18_R2_001_val_2	cfDNA000098_S15-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17091210.0	0.0	20-47	35.0	26.137118096720478	41.33722931261157	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
