AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	22304820	0.080	9.78	3.75	144214828	27090794	0.188	5.03	4.55	200305765	47784122	0.239	6.99	8.03	221340539	16759835	0.076	7.73	2.82	845903867	115702923	0.137	29.53	18.98	207810289	41812468	0.201	7.25	7.03	149236511	59076364	0.396	5.21	9.93	28245162	30379152	1.076	0.99	5.11	200417614	45162676	0.225	7.00	7.59	585709826	182499406	0.312	20.45	29.93	169975490	36849471	0.217	5.93	6.19	122200725	59789624	0.489	4.27	10.05	149305392	68358162	0.458	5.21	11.49	144544873	28658283	0.198	5.05	4.82	586026532	197992130	0.338	20.46	32.47		188075325	12777067	0.068	6.57	2.15	170057716	33170600	0.195	5.94	5.58	208169963	43411778	0.209	7.27	7.30	280841927	21494890	0.077	9.80	3.61	847144995	113513152	0.134	29.57	18.62
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	26547613	0.095	9.78	3.56	144214828	33285072	0.231	5.03	4.46	200305765	58960108	0.294	6.99	7.90	221340539	19267314	0.087	7.73	2.58	845903867	140057018	0.166	29.53	18.31	207810289	51050620	0.246	7.25	6.84	149236511	77491796	0.519	5.21	10.38	28245162	43369540	1.535	0.99	5.81	200417614	55723017	0.278	7.00	7.46	585709826	235163809	0.402	20.45	30.74	169975490	45370386	0.267	5.93	6.08	122200725	78932777	0.646	4.27	10.57	149305392	87991543	0.589	5.21	11.78	144544873	34900157	0.241	5.05	4.67	586026532	252727995	0.431	20.46	33.04		188075325	14675119	0.078	6.57	1.97	170057716	41089217	0.242	5.94	5.50	208169963	52688279	0.253	7.27	7.06	280841927	25376272	0.090	9.80	3.40	847144995	136974026	0.162	29.57	17.91
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	28615354	0.102	9.78	3.81	144214828	33773168	0.234	5.03	4.49	200305765	59905984	0.299	6.99	7.97	221340539	20821225	0.094	7.73	2.77	845903867	145176864	0.172	29.53	18.85	207810289	51723803	0.249	7.25	6.88	149236511	75423434	0.505	5.21	10.03	28245162	41018668	1.452	0.99	5.45	200417614	56105399	0.280	7.00	7.46	585709826	231666254	0.396	20.45	30.08	169975490	46262584	0.272	5.93	6.15	122200725	76559545	0.627	4.27	10.18	149305392	86755546	0.581	5.21	11.54	144544873	35919249	0.248	5.05	4.78	586026532	251028301	0.428	20.46	32.59		188075325	16060053	0.085	6.57	2.14	170057716	41527772	0.244	5.94	5.52	208169963	53856513	0.259	7.27	7.16	280841927	27633561	0.098	9.80	3.67	847144995	142304578	0.168	29.57	18.48
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	28411333	0.101	9.78	4.32	144214828	30341911	0.210	5.03	4.62	200305765	55063363	0.275	6.99	8.38	221340539	20568493	0.093	7.73	3.13	845903867	136461434	0.161	29.53	20.28	207810289	46522039	0.224	7.25	7.08	149236511	59113475	0.396	5.21	8.99	28245162	29825616	1.056	0.99	4.54	200417614	48629796	0.243	7.00	7.40	585709826	190257967	0.325	20.45	28.27	169975490	43174030	0.254	5.93	6.57	122200725	61418737	0.503	4.27	9.35	149305392	74232387	0.497	5.21	11.30	144544873	33014019	0.228	5.05	5.02	586026532	216482706	0.369	20.46	32.17		188075325	16047183	0.085	6.57	2.44	170057716	35808882	0.211	5.94	5.45	208169963	49204679	0.236	7.27	7.49	280841927	25812237	0.092	9.80	3.93	847144995	129773334	0.153	29.57	19.28
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	24852371	0.089	9.78	4.02	144214828	28462657	0.197	5.03	4.61	200305765	49756018	0.248	6.99	8.06	221340539	18573140	0.084	7.73	3.01	845903867	123554175	0.146	29.53	19.53	207810289	43726543	0.210	7.25	7.08	149236511	59673010	0.400	5.21	9.66	28245162	30009811	1.062	0.99	4.86	200417614	46924161	0.234	7.00	7.60	585709826	186425661	0.318	20.45	29.47	169975490	38486590	0.226	5.93	6.23	122200725	60150346	0.492	4.27	9.74	149305392	68571254	0.459	5.21	11.11	144544873	30073314	0.208	5.05	4.87	586026532	201616430	0.344	20.46	31.87		188075325	14381451	0.076	6.57	2.33	170057716	34653180	0.204	5.94	5.61	208169963	45351947	0.218	7.27	7.34	280841927	23826628	0.085	9.80	3.86	847144995	120995319	0.143	29.57	19.13
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	25364353	0.091	9.78	3.93	144214828	29770933	0.206	5.03	4.61	200305765	52196054	0.261	6.99	8.09	221340539	18956115	0.086	7.73	2.94	845903867	128246165	0.152	29.53	19.40	207810289	45920438	0.221	7.25	7.11	149236511	63156176	0.423	5.21	9.78	28245162	31323423	1.109	0.99	4.85	200417614	49271729	0.246	7.00	7.63	585709826	196064411	0.335	20.45	29.65	169975490	40164525	0.236	5.93	6.22	122200725	63239736	0.518	4.27	9.80	149305392	72160068	0.483	5.21	11.18	144544873	31357300	0.217	5.05	4.86	586026532	211456824	0.361	20.46	31.98		188075325	14631773	0.078	6.57	2.27	170057716	36243371	0.213	5.94	5.62	208169963	47470945	0.228	7.27	7.35	280841927	24237001	0.086	9.80	3.75	847144995	125439526	0.148	29.57	18.97
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	35361793	0.126	9.78	4.01	144214828	40062185	0.278	5.03	4.55	200305765	70342651	0.351	6.99	7.99	221340539	25686688	0.116	7.73	2.92	845903867	173859641	0.206	29.53	19.28	207810289	61570698	0.296	7.25	6.99	149236511	86904243	0.582	5.21	9.87	28245162	44962298	1.592	0.99	5.10	200417614	66835140	0.333	7.00	7.59	585709826	268693758	0.459	20.45	29.80	169975490	53938148	0.317	5.93	6.12	122200725	87065811	0.712	4.27	9.88	149305392	97577495	0.654	5.21	11.08	144544873	42431756	0.294	5.05	4.82	586026532	287248681	0.490	20.46	31.85		188075325	19982997	0.106	6.57	2.27	170057716	49469274	0.291	5.94	5.62	208169963	63886021	0.307	7.27	7.25	280841927	34850299	0.124	9.80	3.96	847144995	171977715	0.203	29.57	19.07
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	26320118	0.094	9.78	4.18	144214828	28798233	0.200	5.03	4.57	200305765	50617982	0.253	6.99	8.03	221340539	19957320	0.090	7.73	3.17	845903867	127615376	0.151	29.53	19.77	207810289	43964214	0.212	7.25	6.98	149236511	59470972	0.399	5.21	9.44	28245162	29890798	1.058	0.99	4.74	200417614	47171989	0.235	7.00	7.49	585709826	186548766	0.319	20.45	28.90	169975490	39290357	0.231	5.93	6.24	122200725	59695436	0.489	4.27	9.47	149305392	69819305	0.468	5.21	11.08	144544873	31595449	0.219	5.05	5.01	586026532	204904634	0.350	20.46	31.75		188075325	15815714	0.084	6.57	2.51	170057716	35062898	0.206	5.94	5.56	208169963	46732306	0.224	7.27	7.42	280841927	25910124	0.092	9.80	4.11	847144995	126397340	0.149	29.57	19.58
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	28081117	0.100	9.78	3.65	144214828	34562240	0.240	5.03	4.50	200305765	62990693	0.314	6.99	8.19	221340539	20380025	0.092	7.73	2.65	845903867	148189093	0.175	29.53	18.82	207810289	53415864	0.257	7.25	6.95	149236511	76191916	0.511	5.21	9.91	28245162	40856744	1.447	0.99	5.31	200417614	57427210	0.287	7.00	7.47	585709826	235880741	0.403	20.45	29.95	169975490	48666713	0.286	5.93	6.33	122200725	79026544	0.647	4.27	10.28	149305392	91686490	0.614	5.21	11.93	144544873	36682047	0.254	5.05	4.77	586026532	261378109	0.446	20.46	33.19		188075325	15494408	0.082	6.57	2.02	170057716	42052504	0.247	5.94	5.47	208169963	55387000	0.266	7.27	7.20	280841927	25829517	0.092	9.80	3.36	847144995	142072737	0.168	29.57	18.04
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	25381104	0.091	9.78	3.59	144214828	31639546	0.219	5.03	4.47	200305765	57628950	0.288	6.99	8.14	221340539	18682165	0.084	7.73	2.64	845903867	135292358	0.160	29.53	18.66	207810289	49199505	0.237	7.25	6.95	149236511	70706036	0.474	5.21	9.99	28245162	37884512	1.341	0.99	5.35	200417614	52923697	0.264	7.00	7.48	585709826	217985850	0.372	20.45	30.06	169975490	44319125	0.261	5.93	6.26	122200725	73112277	0.598	4.27	10.33	149305392	84678176	0.567	5.21	11.97	144544873	33753294	0.234	5.05	4.77	586026532	241022100	0.411	20.46	33.24		188075325	14131665	0.075	6.57	2.00	170057716	38614753	0.227	5.94	5.46	208169963	51215693	0.246	7.27	7.24	280841927	23827325	0.085	9.80	3.37	847144995	130786845	0.154	29.57	18.04
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	25803439	0.092	9.78	3.60	144214828	31714774	0.220	5.03	4.42	200305765	58003501	0.290	6.99	8.09	221340539	18763487	0.085	7.73	2.62	845903867	136303070	0.161	29.53	18.55	207810289	49017893	0.236	7.25	6.84	149236511	71873160	0.482	5.21	10.03	28245162	40069502	1.419	0.99	5.59	200417614	52966481	0.264	7.00	7.39	585709826	221394509	0.378	20.45	30.14	169975490	44879112	0.264	5.93	6.26	122200725	75060601	0.614	4.27	10.47	149305392	86681668	0.581	5.21	12.09	144544873	33836723	0.234	5.05	4.72	586026532	245587479	0.419	20.46	33.43		188075325	14268028	0.076	6.57	1.99	170057716	38862470	0.229	5.94	5.42	208169963	51015498	0.245	7.27	7.12	280841927	24101972	0.086	9.80	3.36	847144995	131343912	0.155	29.57	17.88
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	40550386	0.145	9.78	4.71	144214828	40008132	0.277	5.03	4.65	200305765	71175548	0.355	6.99	8.27	221340539	28071541	0.127	7.73	3.26	845903867	182396070	0.216	29.53	20.71	207810289	60740941	0.292	7.25	7.06	149236511	77150535	0.517	5.21	8.97	28245162	38866066	1.376	0.99	4.52	200417614	63411028	0.316	7.00	7.37	585709826	248005346	0.423	20.45	28.16	169975490	55812031	0.328	5.93	6.49	122200725	78970476	0.646	4.27	9.18	149305392	93589396	0.627	5.21	10.88	144544873	42814321	0.296	5.05	4.98	586026532	277104069	0.473	20.46	31.47		188075325	22116429	0.118	6.57	2.57	170057716	47158756	0.277	5.94	5.48	208169963	63523351	0.305	7.27	7.38	280841927	36508123	0.130	9.80	4.24	847144995	173127633	0.204	29.57	19.66
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	29190588	0.104	9.78	3.80	144214828	34464723	0.239	5.03	4.49	200305765	62964007	0.314	6.99	8.20	221340539	21544183	0.097	7.73	2.81	845903867	150323606	0.178	29.53	19.11	207810289	53261541	0.256	7.25	6.94	149236511	74250211	0.498	5.21	9.67	28245162	39321400	1.392	0.99	5.12	200417614	57005289	0.284	7.00	7.42	585709826	231544538	0.395	20.45	29.44	169975490	48679337	0.286	5.93	6.34	122200725	76920975	0.629	4.27	10.02	149305392	90646568	0.607	5.21	11.81	144544873	37490312	0.259	5.05	4.88	586026532	259279950	0.442	20.46	32.97		188075325	16635652	0.088	6.57	2.17	170057716	41737280	0.245	5.94	5.44	208169963	56213324	0.270	7.27	7.32	280841927	27484347	0.098	9.80	3.58	847144995	145368601	0.172	29.57	18.48
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	27545566	0.098	9.78	3.89	144214828	32603388	0.226	5.03	4.61	200305765	58170183	0.290	6.99	8.22	221340539	20505277	0.093	7.73	2.90	845903867	140937070	0.167	29.53	19.44	207810289	50498884	0.243	7.25	7.13	149236511	68455519	0.459	5.21	9.67	28245162	33964078	1.202	0.99	4.80	200417614	53826054	0.269	7.00	7.60	585709826	213932333	0.365	20.45	29.50	169975490	44793704	0.264	5.93	6.33	122200725	69632535	0.570	4.27	9.84	149305392	80246667	0.537	5.21	11.34	144544873	34405699	0.238	5.05	4.86	586026532	233971848	0.399	20.46	32.27		188075325	15725896	0.084	6.57	2.22	170057716	39401340	0.232	5.94	5.57	208169963	52196522	0.251	7.27	7.37	280841927	25810361	0.092	9.80	3.65	847144995	136252937	0.161	29.57	18.79
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	26769306	0.096	9.78	3.75	144214828	32806361	0.227	5.03	4.59	200305765	58263415	0.291	6.99	8.16	221340539	20039011	0.091	7.73	2.81	845903867	139974448	0.165	29.53	19.13	207810289	50923489	0.245	7.25	7.13	149236511	70847925	0.475	5.21	9.92	28245162	35096446	1.243	0.99	4.91	200417614	54678649	0.273	7.00	7.65	585709826	218946124	0.374	20.45	29.92	169975490	44583141	0.262	5.93	6.24	122200725	71491223	0.585	4.27	10.01	149305392	81544511	0.546	5.21	11.42	144544873	34343672	0.238	5.05	4.81	586026532	236869854	0.404	20.46	32.36		188075325	15337847	0.082	6.57	2.15	170057716	39912373	0.235	5.94	5.59	208169963	52369695	0.252	7.27	7.33	280841927	25352051	0.090	9.80	3.55	847144995	136100662	0.161	29.57	18.60
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	27789812	0.099	9.78	3.97	144214828	31787416	0.220	5.03	4.55	200305765	56245565	0.281	6.99	8.04	221340539	20694834	0.093	7.73	2.96	845903867	138529969	0.164	29.53	19.34	207810289	48825216	0.235	7.25	6.98	149236511	68099447	0.456	5.21	9.74	28245162	35058636	1.241	0.99	5.01	200417614	52478088	0.262	7.00	7.50	585709826	211309936	0.361	20.45	29.50	169975490	43367763	0.255	5.93	6.20	122200725	68744418	0.563	4.27	9.83	149305392	79074603	0.530	5.21	11.31	144544873	34160793	0.236	5.05	4.89	586026532	230361912	0.393	20.46	32.16		188075325	16155184	0.086	6.57	2.31	170057716	38728647	0.228	5.94	5.54	208169963	51160983	0.246	7.27	7.32	280841927	26889271	0.096	9.80	3.85	847144995	136013702	0.161	29.57	18.99
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	33534756	0.120	9.78	3.92	144214828	38616655	0.268	5.03	4.51	200305765	68990702	0.344	6.99	8.06	221340539	24619765	0.111	7.73	2.88	845903867	168090374	0.199	29.53	19.17	207810289	59342486	0.286	7.25	6.93	149236511	83591935	0.560	5.21	9.76	28245162	44144400	1.563	0.99	5.16	200417614	63959731	0.319	7.00	7.47	585709826	259378206	0.443	20.45	29.59	169975490	53141049	0.313	5.93	6.21	122200725	85217327	0.697	4.27	9.95	149305392	98058884	0.657	5.21	11.45	144544873	41767812	0.289	5.05	4.88	586026532	284254502	0.485	20.46	32.42		188075325	19157190	0.102	6.57	2.24	170057716	47171550	0.277	5.94	5.51	208169963	62400972	0.300	7.27	7.29	280841927	32532907	0.116	9.80	3.80	847144995	164979301	0.195	29.57	18.82
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	27960164	0.100	9.78	4.10	144214828	31995560	0.222	5.03	4.69	200305765	56530702	0.282	6.99	8.29	221340539	21527122	0.097	7.73	3.16	845903867	140159703	0.166	29.53	20.07	207810289	49491638	0.238	7.25	7.26	149236511	63126628	0.423	5.21	9.26	28245162	28567197	1.011	0.99	4.19	200417614	52712454	0.263	7.00	7.73	585709826	200740689	0.343	20.45	28.74	169975490	43520936	0.256	5.93	6.38	122200725	63556938	0.520	4.27	9.32	149305392	74358837	0.498	5.21	10.90	144544873	34457844	0.238	5.05	5.05	586026532	220199898	0.376	20.46	31.53		188075325	16761356	0.089	6.57	2.46	170057716	38562667	0.227	5.94	5.65	208169963	51991689	0.250	7.27	7.62	280841927	26809176	0.095	9.80	3.93	847144995	137304716	0.162	29.57	19.66
